scenario,scenario_type,scenario_geography,sector,technology,technology_type,price_unit,pathway_unit,country_iso2_list,scenario_provider,scenario_year,scenario_price,scenario_pathway,scenario_capacity_factor
VN_PDP8_BASELINE,baseline,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2026,93.9,1233264.681,0.9941
VN_PDP8_BASELINE,baseline,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2027,95.8,1318066.446,0.9996
VN_PDP8_BASELINE,baseline,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2028,98.1734,1405706.7052,1.0052
VN_PDP8_BASELINE,baseline,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2029,100.5886,1496468.1984,1.0109
VN_PDP8_BASELINE,baseline,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2030,103.0057,1590319.1192,1.0167
VN_PDP8_BASELINE,baseline,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2031,105.42280000000001,1684170.04,1.0225
VN_PDP8_BASELINE,baseline,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2032,107.83990000000001,1778020.9608,1.0283
VN_PDP8_BASELINE,baseline,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2025,92,7685145.1513,1.0157
VN_PDP8_BASELINE,baseline,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2026,93.9,7799844.8642,1.0083
VN_PDP8_BASELINE,baseline,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2027,95.8,7907071.7948,1.0006
VN_PDP8_BASELINE,baseline,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2028,98.1734,8007791.1661,0.9928
VN_PDP8_BASELINE,baseline,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2029,100.5886,8101097.7424,0.9848
VN_PDP8_BASELINE,baseline,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2030,103.0057,8187228.2355,0.9766
VN_PDP8_BASELINE,baseline,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2031,105.42280000000001,8273358.728600001,0.9684
VN_PDP8_BASELINE,baseline,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2032,107.83990000000001,8359489.2217000015,0.9602
VN_STEPS_BASELINE,baseline,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2025,92,1151525.6331,0.9888
VN_STEPS_BASELINE,baseline,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2026,93,1212781.1165,0.9896
VN_STEPS_BASELINE,baseline,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2027,94,1274796.1349,0.9905
VN_STEPS_BASELINE,baseline,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2028,95,1337290.2074,0.9914
VN_STEPS_BASELINE,baseline,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2029,96,1400504.4461,0.9924
VN_STEPS_BASELINE,baseline,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2030,97,1464351.0311,0.9934
VN_STEPS_BASELINE,baseline,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2031,98,1528197.6161,0.9944
VN_STEPS_BASELINE,baseline,Vietnam,Steel,ElectricArc,greentech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2032,99,1592044.2011,0.9954
VN_STEPS_BASELINE,baseline,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2025,92,7685145.1513,1.0157
VN_STEPS_BASELINE,baseline,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2026,93,7876342.1266,1.0146
VN_STEPS_BASELINE,baseline,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2027,94,8065328.951,1.0133
VN_STEPS_BASELINE,baseline,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2028,95,8253198.1692,1.012
VN_STEPS_BASELINE,baseline,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2029,96,8439118.2128,1.0107
VN_STEPS_BASELINE,baseline,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2030,97,8623451.0591,1.0092
VN_STEPS_BASELINE,baseline,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2031,98,8807783.9054,1.0077000000000003
VN_STEPS_BASELINE,baseline,Vietnam,Steel,OpenHearth,carbontech,USD/unit-equivalent,tonnes,NA,synthetic_vietnam_demo,2032,99,8992116.7517,1.0062000000000004
