scenario,scenario_type,scenario_geography,sector,technology,scenario_year,price_unit,scenario_price,pathway_unit,scenario_pathway,technology_type,scenario_capacity_factor,country_iso2_list,scenario_provider
VN_STEPS,baseline,Vietnam,Power,GasCap,2026,USD/MWh-equivalent,55,MW,12341,carbontech,0.55,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,GasCap,2027,USD/MWh-equivalent,55,MW,14994,carbontech,0.55,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,GasCap,2028,USD/MWh-equivalent,55,MW,17286,carbontech,0.55,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,GasCap,2029,USD/MWh-equivalent,55,MW,18766,carbontech,0.55,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,GasCap,2030,USD/MWh-equivalent,55,MW,20587.5,carbontech,0.55,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,HydroCap,2025,USD/MWh-equivalent,55,MW,12852,greentech,0.45,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,HydroCap,2026,USD/MWh-equivalent,55,MW,12837.5,greentech,0.45,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,HydroCap,2027,USD/MWh-equivalent,55,MW,12937.5,greentech,0.45,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,HydroCap,2028,USD/MWh-equivalent,55,MW,13062.5,greentech,0.45,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,HydroCap,2029,USD/MWh-equivalent,55,MW,13082,greentech,0.45,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,HydroCap,2030,USD/MWh-equivalent,55,MW,13268,greentech,0.45,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,RenewablesCap,2025,USD/MWh-equivalent,55,MW,4321.8,greentech,0.3,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,RenewablesCap,2026,USD/MWh-equivalent,55,MW,5105.4,greentech,0.3,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,RenewablesCap,2027,USD/MWh-equivalent,55,MW,5836.8,greentech,0.3,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,RenewablesCap,2028,USD/MWh-equivalent,55,MW,6630.6,greentech,0.3,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,RenewablesCap,2029,USD/MWh-equivalent,55,MW,7423,greentech,0.3,NA,synthetic_vietnam_demo
VN_STEPS,baseline,Vietnam,Power,RenewablesCap,2030,USD/MWh-equivalent,55,MW,8122,greentech,0.3,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,CoalCap,2025,USD/MWh-equivalent,68,MW,36200,carbontech,0.7,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,CoalCap,2026,USD/MWh-equivalent,66.4,MW,34352,carbontech,0.62,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,CoalCap,2027,USD/MWh-equivalent,64.8,MW,31063.5,carbontech,0.54,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,CoalCap,2028,USD/MWh-equivalent,63.2,MW,27680,carbontech,0.46,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,CoalCap,2029,USD/MWh-equivalent,61.6,MW,24422.4,carbontech,0.38,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,CoalCap,2030,USD/MWh-equivalent,60,MW,20992,carbontech,0.3,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,GasCap,2025,USD/MWh-equivalent,60,MW,11400,carbontech,0.55,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,GasCap,2026,USD/MWh-equivalent,59.7,MW,12642,carbontech,0.53,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,GasCap,2027,USD/MWh-equivalent,59.4,MW,15708,carbontech,0.51,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,GasCap,2028,USD/MWh-equivalent,59.1,MW,17848.8,carbontech,0.49,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,GasCap,2029,USD/MWh-equivalent,58.8,MW,19107.2,carbontech,0.47,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,GasCap,2030,USD/MWh-equivalent,58.5,MW,20587.5,carbontech,0.45,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,HydroCap,2025,USD/MWh-equivalent,56,MW,12852,greentech,0.45,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,HydroCap,2026,USD/MWh-equivalent,56.2,MW,12734.8,greentech,0.45,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,HydroCap,2027,USD/MWh-equivalent,56.4,MW,12627,greentech,0.45,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,HydroCap,2028,USD/MWh-equivalent,56.6,MW,12644.5,greentech,0.45,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,HydroCap,2029,USD/MWh-equivalent,56.8,MW,12660,greentech,0.45,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,HydroCap,2030,USD/MWh-equivalent,57,MW,12733,greentech,0.45,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,RenewablesCap,2025,USD/MWh-equivalent,52,MW,4321.8,greentech,0.3,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,RenewablesCap,2026,USD/MWh-equivalent,52.8,MW,5226,greentech,0.31,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,RenewablesCap,2027,USD/MWh-equivalent,53.6,MW,6247.2,greentech,0.32,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,RenewablesCap,2028,USD/MWh-equivalent,54.4,MW,7401.6,greentech,0.33,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,RenewablesCap,2029,USD/MWh-equivalent,55.2,MW,8565,greentech,0.34,NA,synthetic_vietnam_demo
VN_NZE_STRESS,target,Vietnam,Power,RenewablesCap,2030,USD/MWh-equivalent,56,MW,9672,greentech,0.35,NA,synthetic_vietnam_demo
